"Date","Price","Open","High","Low","Vol.","Change %"
"08/04/2022","73,300.0","73,400.0","73,400.0","72,800.0","1.72M","-0.14%"
"08/03/2022","73,400.0","72,800.0","73,500.0","72,500.0","3.13M","0.00%"
"08/02/2022","73,400.0","73,400.0","74,200.0","72,700.0","2.60M","-0.14%"
"08/01/2022","73,500.0","72,800.0","73,500.0","72,200.0","2.53M","0.96%"
"07/29/2022","72,800.0","72,700.0","73,600.0","72,400.0","2.58M","0.28%"
"07/28/2022","72,600.0","72,500.0","72,800.0","72,300.0","1.22M","0.55%"
"07/27/2022","72,200.0","72,000.0","72,600.0","71,800.0","789.50K","0.28%"
"07/26/2022","72,000.0","72,900.0","73,000.0","71,800.0","1.15M","-1.23%"
"07/25/2022","72,900.0","72,000.0","72,900.0","71,800.0","1.24M","1.25%"
"07/22/2022","72,000.0","73,200.0","73,200.0","72,000.0","712.30K","-1.64%"
"07/21/2022","73,200.0","72,500.0","73,600.0","72,200.0","1.72M","0.27%"
"07/20/2022","73,000.0","73,200.0","73,600.0","72,800.0","1.17M","0.27%"
"07/19/2022","72,800.0","72,000.0","72,900.0","71,600.0","1.53M","1.53%"
"07/18/2022","71,700.0","72,000.0","72,200.0","71,500.0","1.11M","0.14%"
"07/15/2022","71,600.0","72,400.0","73,000.0","71,600.0","1.48M","-1.10%"
"07/14/2022","72,400.0","72,300.0","73,200.0","72,200.0","982.30K","-0.14%"
"07/13/2022","72,500.0","73,200.0","73,600.0","72,400.0","1.42M","-1.09%"
"07/12/2022","73,300.0","73,000.0","73,900.0","72,600.0","976.10K","0.41%"
"07/11/2022","73,000.0","72,200.0","74,700.0","72,000.0","2.56M","0.00%"
"07/08/2022","73,000.0","73,000.0","73,300.0","72,500.0","1.70M","0.00%"
"07/07/2022","73,000.0","70,700.0","73,000.0","70,000.0","3.05M","3.25%"
"07/06/2022","70,700.0","71,000.0","71,500.0","69,500.0","2.36M","0.04%"
"07/05/2022","70,669.5","72,796.3","72,893.0","70,572.8","2.59M","-2.66%"
"07/04/2022","72,603.0","71,539.6","73,279.7","71,346.2","3.14M","1.90%"
"07/01/2022","71,249.5","69,896.1","71,442.9","69,606.0","2.86M","2.08%"
"06/30/2022","69,799.4","69,896.1","72,313.0","69,799.4","3.58M","-0.14%"
"06/29/2022","69,896.1","68,252.6","70,282.8","68,252.6","1.94M","2.12%"
"06/28/2022","68,445.9","68,252.6","70,282.8","67,769.2","3.04M","-0.42%"
"06/27/2022","68,736.0","69,412.7","69,702.7","67,962.6","1.80M","-0.56%"
"06/24/2022","69,122.7","68,639.3","70,476.1","68,542.6","1.68M","1.13%"
"06/23/2022","68,349.3","68,252.6","69,606.0","67,672.5","1.10M","0.14%"
"06/22/2022","68,252.6","70,669.5","70,959.5","68,252.6","2.21M","-4.21%"
"06/21/2022","71,249.5","66,899.1","71,346.2","66,512.4","4.84M","6.81%"
"06/20/2022","66,705.8","64,192.2","67,382.5","64,192.2","2.59M","3.45%"
"06/17/2022","64,482.3","64,675.6","66,319.1","63,032.1","2.50M","-1.91%"
"06/16/2022","65,739.0","62,935.5","66,029.1","62,838.8","2.22M","5.43%"
"06/15/2022","62,355.4","63,902.2","64,288.9","62,355.4","2.68M","-2.42%"
"06/14/2022","63,902.2","63,322.2","65,255.7","63,225.5","1.39M","-0.45%"
"06/13/2022","64,192.2","66,125.7","66,125.7","63,998.9","2.38M","-4.46%"
"06/10/2022","67,189.2","67,672.5","67,865.9","67,189.2","1.48M","-1.00%"
"06/09/2022","67,865.9","68,639.3","68,736.0","67,865.9","1.05M","-1.13%"
