"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2022","62,900","62,700","62,900","62,300","2.49M","0.32%"
"08/05/2022","62,700","62,900","63,500","62,600","2.71M","0.00%"
"08/04/2022","62,700","62,200","63,000","62,100","4.34M","1.46%"
"08/03/2022","61,800","62,000","62,200","61,300","2.66M","-0.32%"
"08/02/2022","62,000","61,800","62,500","61,300","2.12M","1.14%"
"08/01/2022","61,300","61,000","61,900","60,000","3.26M","0.49%"
"07/29/2022","61,000","62,400","62,400","61,000","3.38M","-1.61%"
"07/28/2022","62,000","63,000","63,000","62,000","1.95M","-0.16%"
"07/27/2022","62,100","60,100","63,000","60,100","1.87M","-1.43%"
"07/26/2022","63,000","63,900","63,900","62,800","1.81M","-0.47%"
"07/25/2022","63,300","64,800","65,800","62,700","4.02M","-1.86%"
"07/22/2022","64,500","64,900","66,800","64,200","5.45M","0.62%"
"07/21/2022","64,100","61,200","64,500","61,200","5.00M","4.74%"
"07/20/2022","61,200","59,200","63,000","58,200","7.38M","2.00%"
"07/19/2022","60,000","61,200","61,200","59,500","2.12M","-1.64%"
"07/18/2022","61,000","61,500","62,900","60,200","2.54M","-0.81%"
"07/15/2022","61,500","62,800","63,200","61,500","3.08M","-1.76%"
"07/14/2022","62,600","62,900","64,000","62,300","2.13M","-1.57%"
"07/13/2022","63,600","64,000","64,200","61,900","3.10M","-1.24%"
"07/12/2022","64,400","64,800","64,800","64,000","1.61M","-0.16%"
"07/11/2022","64,500","64,800","64,900","64,000","1.37M","-0.77%"
"07/08/2022","65,000","64,700","66,500","64,400","2.59M","1.56%"
"07/07/2022","64,000","64,100","65,000","63,900","1.59M","0.00%"
"07/06/2022","64,000","65,500","66,300","64,000","2.40M","-2.29%"
"07/05/2022","65,500","67,800","67,800","64,000","3.98M","-3.39%"
"07/04/2022","67,800","70,000","70,100","66,600","5.18M","-3.56%"
"07/01/2022","70,300","71,600","71,600","68,800","3.29M","-1.68%"
"06/30/2022","71,500","73,100","73,100","71,200","2.40M","-2.05%"
"06/29/2022","73,000","72,800","74,000","71,100","3.15M","0.27%"
"06/28/2022","72,800","71,000","72,900","71,000","4.12M","1.82%"
"06/27/2022","71,500","71,700","72,500","71,100","3.16M","-0.56%"
"06/24/2022","71,900","73,500","73,500","71,400","2.72M","-0.83%"
"06/23/2022","72,500","70,000","73,500","69,800","4.91M","3.87%"
"06/22/2022","69,800","75,600","75,600","69,200","3.82M","-5.03%"
"06/21/2022","73,500","75,000","75,800","71,000","3.37M","-0.54%"
"06/20/2022","73,900","78,000","78,000","73,600","4.48M","-4.89%"
"06/17/2022","77,700","79,000","79,000","76,300","3.50M","-1.65%"
"06/16/2022","79,000","79,000","79,000","77,600","6.04M","6.97%"
"06/15/2022","73,850","72,500","73,850","72,000","5.12M","2.93%"
"06/14/2022","71,750","69,250","72,150","69,000","3.21M","2.50%"
"06/13/2022","70,000","72,500","73,750","70,000","6.46M","-6.67%"
"06/10/2022","75,000","77,000","77,500","75,000","3.88M","-1.83%"
"06/09/2022","76,400","76,700","77,500","75,650","2.26M","-0.39%"
"06/08/2022","76,700","77,150","78,950","76,700","4.15M","0.26%"
"06/07/2022","76,500","77,000","77,000","74,500","3.69M","-0.46%"
"06/06/2022","76,850","76,502","77,744","76,502","3.78M","0.98%"
"06/03/2022","76,105","73,373","76,651","73,373","3.34M","3.72%"
"06/02/2022","73,373","72,777","74,764","72,280","3.61M","1.51%"
"06/01/2022","72,280","71,982","73,025","71,535","2.12M","0.41%"
"05/31/2022","71,982","72,131","72,131","71,038","1.48M","-0.21%"
"05/30/2022","72,131","72,876","73,273","71,237","2.52M","-1.02%"
"05/27/2022","72,876","69,150","72,975","69,150","5.10M","5.54%"
"05/26/2022","69,051","69,548","69,796","67,560","1.43M","0.00%"
"05/25/2022","69,051","66,766","70,293","66,567","3.12M","4.51%"
