"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2022","115,997.0","116,693.0","119,379.0","115,897.0","1.08M","-0.51%"
"04/01/2022","116,594.0","109,431.0","117,589.0","109,332.0","3.76M","6.06%"
"03/31/2022","109,928.0","107,939.0","110,426.0","107,242.0","632.70K","2.03%"
"03/30/2022","107,740.0","111,321.0","112,316.0","107,441.0","953.50K","-1.99%"
"03/29/2022","109,928.0","109,431.0","111,321.0","108,436.0","1.37M","2.13%"
"03/28/2022","107,640.0","109,431.0","110,127.0","107,640.0","1.02M","0.00%"
"03/25/2022","107,640.0","106,447.0","108,934.0","106,049.0","651.60K","1.12%"
"03/24/2022","106,447.0","106,447.0","108,337.0","104,755.0","582.70K","1.81%"
"03/23/2022","104,556.0","107,441.0","108,834.0","103,562.0","506.50K","-1.78%"
"03/22/2022","106,447.0","106,049.0","109,133.0","105,850.0","931.80K","1.33%"
"03/21/2022","105,054.0","103,064.0","105,352.0","102,965.0","710.80K","2.03%"
"03/18/2022","102,965.0","101,870.0","104,954.0","101,870.0","678.70K","0.49%"
"03/17/2022","102,467.0","102,268.0","102,766.0","101,472.0","690.30K","0.19%"
"03/16/2022","102,268.0","101,870.0","103,064.0","99,980.0","594.80K","-0.10%"
"03/15/2022","102,368.0","98,985.0","102,467.0","98,090.0","818.90K","4.47%"
"03/14/2022","97,991.0","103,263.0","103,263.0","97,991.0","1.99M","-5.74%"
"03/11/2022","103,960.0","106,447.0","107,441.0","103,064.0","1.32M","-3.51%"
"03/10/2022","107,740.0","108,934.0","108,934.0","106,646.0","1.11M","-1.99%"
"03/09/2022","109,928.0","106,447.0","111,421.0","106,049.0","2.30M","4.24%"
"03/08/2022","105,452.0","108,436.0","109,431.0","104,954.0","1.35M","-1.85%"
"03/07/2022","107,441.0","106,646.0","111,421.0","106,646.0","3.11M","2.27%"
"03/04/2022","105,054.0","101,592.0","105,746.0","101,592.0","1.60M","2.12%"
"03/03/2022","102,878.0","102,878.0","103,867.0","100,899.0","833.50K","0.58%"
"03/02/2022","102,284.0","103,867.0","103,867.0","99,712.0","1.21M","-1.52%"
"03/01/2022","103,867.0","100,998.0","104,856.0","100,998.0","1.15M","1.94%"
"02/28/2022","101,888.0","105,845.0","107,527.0","101,888.0","2.29M","-4.45%"
"02/25/2022","106,637.0","107,824.0","108,813.0","105,252.0","1.61M","-1.10%"
"02/24/2022","107,824.0","108,714.0","111,583.0","107,824.0","1.78M","-0.55%"
"02/23/2022","108,417.0","108,813.0","112,275.0","107,824.0","1.15M","-0.36%"
"02/22/2022","108,813.0","105,252.0","111,780.0","103,966.0","2.82M","3.29%"
"02/21/2022","105,351.0","105,845.0","105,845.0","103,768.0","693.40K","-0.47%"
"02/18/2022","105,845.0","105,845.0","107,725.0","105,845.0","570.60K","-0.83%"
"02/17/2022","106,735.0","105,351.0","106,735.0","105,153.0","924.60K","1.50%"
"02/16/2022","105,153.0","103,867.0","105,449.0","103,372.0","758.90K","0.76%"
"02/15/2022","104,361.0","102,779.0","104,757.0","102,581.0","619.80K","0.86%"
"02/14/2022","103,471.0","103,867.0","103,966.0","102,976.0","533.20K","-0.19%"
"02/11/2022","103,669.0","101,888.0","105,351.0","100,899.0","534.90K","1.45%"
"02/10/2022","102,185.0","102,383.0","102,581.0","100,503.0","825.90K","0.00%"
"02/09/2022","102,185.0","103,768.0","103,768.0","101,888.0","1.12M","-1.62%"
"02/08/2022","103,867.0","104,955.0","105,944.0","102,878.0","781.50K","-2.14%"
"02/07/2022","106,142.0","102,482.0","106,834.0","102,482.0","1.21M","3.17%"
"01/28/2022","102,878.0","98,921.0","102,878.0","98,921.0","1.01M","2.97%"
"01/27/2022","99,910.0","98,921.0","100,405.0","98,822.0","921.30K","0.00%"
"01/26/2022","99,910.0","96,547.0","99,910.0","95,755.0","1.87M","4.12%"
"01/25/2022","95,953.0","95,755.0","96,448.0","94,568.0","647.30K","0.10%"
"01/24/2022","95,854.0","94,469.0","97,239.0","93,084.0","870.60K","1.47%"
"01/21/2022","94,469.0","93,480.0","94,469.0","93,381.0","715.30K","1.17%"
"01/20/2022","93,381.0","91,996.0","93,480.0","91,996.0","378.90K","0.85%"
"01/19/2022","92,590.0","92,194.0","92,590.0","91,007.0","335.70K","0.32%"
"01/18/2022","92,293.0","91,205.0","92,491.0","91,106.0","348.00K","-0.21%"
"01/17/2022","92,491.0","92,095.0","92,985.0","91,601.0","508.20K","-0.43%"
"01/14/2022","92,887.0","90,710.0","93,282.0","90,710.0","288.80K","-0.21%"
"01/13/2022","93,084.0","94,964.0","94,964.0","92,095.0","331.90K","1.51%"
"01/12/2022","91,700.0","93,084.0","93,084.0","91,601.0","466.40K","-1.49%"
"01/11/2022","93,084.0","92,194.0","93,480.0","91,403.0","386.40K","0.97%"
"01/10/2022","92,194.0","92,788.0","92,788.0","91,996.0","533.40K","-0.75%"
"01/07/2022","92,887.0","93,579.0","93,579.0","92,590.0","298.90K","-0.74%"
"01/06/2022","93,579.0","94,173.0","94,865.0","93,480.0","289.00K","-0.53%"
"01/05/2022","94,074.0","94,964.0","95,557.0","94,074.0","570.30K","-1.45%"
"01/04/2022","95,458.0","95,162.0","95,458.0","94,370.0","358.70K","0.31%"
"12/31/2021","95,162.0","92,590.0","96,448.0","91,601.0","607.80K","4.00%"
"12/30/2021","91,502.0","92,985.0","92,985.0","91,502.0","607.50K","-0.75%"
"12/29/2021","92,194.0","94,964.0","94,964.0","92,194.0","300.80K","-2.51%"
"12/28/2021","94,568.0","95,656.0","95,656.0","93,480.0","309.50K","-0.42%"
"12/27/2021","94,964.0","94,074.0","94,964.0","91,502.0","227.20K","1.37%"
"12/24/2021","93,678.0","93,381.0","93,777.0","92,689.0","250.40K","1.07%"
"12/23/2021","92,689.0","93,480.0","94,469.0","90,908.0","354.00K","-0.85%"
"12/22/2021","93,480.0","94,271.0","94,766.0","92,985.0","198.00K","-0.32%"
"12/21/2021","93,777.0","92,491.0","93,777.0","92,392.0","272.00K","0.64%"
"12/20/2021","93,183.0","93,282.0","94,766.0","93,183.0","503.70K","-1.36%"
"12/17/2021","94,469.0","93,876.0","94,667.0","93,480.0","267.80K","1.92%"
"12/16/2021","92,689.0","94,964.0","95,854.0","92,392.0","431.60K","-2.40%"
"12/15/2021","94,964.0","95,162.0","95,854.0","94,766.0","230.90K","-0.21%"
"12/14/2021","95,162.0","96,448.0","97,338.0","94,667.0","303.60K","-2.33%"
"12/13/2021","97,437.0","96,448.0","97,635.0","95,953.0","387.00K","1.23%"
"12/10/2021","96,250.0","95,953.0","97,041.0","95,063.0","393.10K","-1.22%"
"12/09/2021","97,437.0","94,964.0","98,921.0","94,568.0","545.50K","2.60%"
"12/08/2021","94,964.0","93,588.0","96,832.0","93,194.0","392.00K","2.99%"
"12/07/2021","92,211.0","90,442.0","92,211.0","90,147.0","787.60K","2.85%"
"12/06/2021","89,655.0","92,506.0","94,079.0","89,655.0","607.40K","-2.98%"
"12/03/2021","92,408.0","96,439.0","96,439.0","92,408.0","718.00K","-3.49%"
"12/02/2021","95,750.0","95,357.0","97,225.0","95,357.0","431.60K","0.10%"
"12/01/2021","95,652.0","96,340.0","97,815.0","95,652.0","362.10K","-0.61%"
"11/30/2021","96,242.0","98,306.0","98,601.0","95,161.0","1.06M","-0.20%"
"11/29/2021","96,439.0","97,323.0","99,781.0","95,849.0","1.51M","-3.35%"
"11/26/2021","99,781.0","102,239.0","103,222.0","99,781.0","811.80K","-2.50%"
"11/25/2021","102,337.0","103,222.0","105,188.0","102,337.0","510.40K","-1.51%"
